"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","breakEvenBuildCost","profitPercentOfInvestment"
"921 Elsinore Drive","Palo Alto","  9462","2288000","2982.300","667.5176","0.41046055"
"1266 Altschul Avenue","Menlo Park","  8208","2195000","3334.000","434.9141","0.20356733"
"2361 Fruitdale Avenue","San Jose","  8100"," 685000","2495.100","384.8270","0.25703945"
"4675 Borina Drive","San Jose","  6000","1250000","2278.030","364.3858","0.14321143"
"20375 Clifden Way","Cupertino","  7700","1628000","2923.472","356.2334","0.13166075"
"640 San Diego Avenue","Sunnyvale","  6850","1088000","2221.000","347.1369","0.13128924"
"1058 Montgomery Street","San Carlos","  5000"," 849000","1661.998","336.5023","0.11369456"
"219 Carmelita Drive","Mountain View"," 10799","1999000","3162.000","326.3485","0.08654378"
"3305 Cadillac Drive","San Jose","  7630"," 899000","2495.100","299.0589","0.08038404"
"133 Madera Avenue","San Carlos","  7095","1550000","3080.877","296.7359","0.06205775"
"20637 Craig Court","Cupertino","  7980","1888000","3029.780","289.9579","0.04576311"
"585 Maple Avenue","Sunnyvale","  5184"," 975000","1771.985","286.7761","0.04595687"
"4120 Mackay Drive","Palo Alto"," 10350","2398000","2391.500","274.4519","0.01951908"
"145 Henrik Ibsen Park Road","Woodside","200376","1598000","3953.600","262.9271","0.01976052"
